implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error,run_id,domain
torch_compile,4,1024,64,float32,True,0.524673099789652,0.0198165298395483,1.2641100993278087,0.0245292527332866,0.036376953125,0.099853515625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,1024,64,float32,True,0.2122677500665304,0.0196182103463396,1.496060699901136,0.1042092959735182,0.0207672119140625,0.067657470703125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,1024,128,float32,True,0.6433549993744236,0.1130758631330837,1.8054584001220064,0.1419556947897312,0.058837890625,0.091064453125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,1024,128,float32,True,0.5386205999457161,0.024681165234041,1.286275199709053,0.0206480273648706,0.041259765625,0.058837890625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,1024,128,float32,True,0.3684334002173273,0.0161642190682876,1.6754178501287242,0.0303783488182297,0.0256500244140625,0.072540283203125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,2048,64,float32,True,3.308406349788129,0.0479273989083013,8.596160449815216,0.0659214597329824,0.158447265625,0.281494140625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,2048,64,float32,True,1.5656987503462003,0.0834680800167858,4.335137149610091,0.2323097204415366,0.088134765625,0.152587890625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,2048,64,float32,True,0.5252556504274253,0.0567742534334792,4.837845449947054,0.2137868214172641,0.025665283203125,0.21319580078125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,2048,128,float32,True,3.583377549693978,0.19067264000662,9.242145700227413,0.2612773085928796,0.168212890625,0.293212890625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,2048,128,float32,True,1.701324700297846,0.0722381359185022,4.802671049765195,0.4096876730562472,0.097900390625,0.164306640625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,2048,128,float32,True,1.1197334502867309,0.170230876103196,5.910214599862229,0.3475008907269807,0.035430908203125,0.22296142578125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,4096,64,float32,True,13.458632500078238,0.2968025808546383,34.68458904972067,0.3516295770858672,0.566650390625,1.054931640625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,4096,64,float32,True,6.43659910056158,0.2203939898296119,18.026310049390304,0.403472716040511,0.285400390625,0.539306640625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,4096,64,float32,True,1.5585484503390037,0.0834797359656702,18.185586749677896,0.3763214737239714,0.03546142578125,0.7855224609375,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,4096,128,float32,True,13.798708750255171,0.3369302745057119,36.54943855090096,0.7512276328368035,0.586181640625,1.078369140625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,4096,128,float32,True,7.0066978498289245,0.3486515713951989,18.623134249537543,0.4135037116343825,0.304931640625,0.562744140625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,4096,128,float32,True,3.892292749515036,0.1844078603070018,21.66785734953009,0.4212248184846678,0.05499267578125,0.8050537109375,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
